Item Name,Item URL,Item Price,Rating,Number of Reviews
"Gizga Essentials Travel Toiletry Kit Bag for Men & Women, Travel Organizer Case with Handle & Hook, Premium Zipper, Multiple Pockets, Multi-Utility Pouch for Shaving Makeup Cosmetics, Light Grey",https://www.amazon.in/Gizga-Essentials-Organizer-Multi-Utility-Cosmetics/dp/B09WVRKYCJ/ref=sr_1_126?crid=2M096C61O4MLT&keywords=bags&qid=1685030911&sprefix=ba%2Caps%2C283&sr=8-126,413,4.3 out of 5 stars,117
Cosmus Vogue Casual Laptop Backpack with USB Charger Port 46cm 26 Litre Dark Grey College Bag,https://www.amazon.in/Cosmus-Casual-Backpack-Charger-College/dp/B08D7DTWLF/ref=sr_1_127?crid=2M096C61O4MLT&keywords=bags&qid=1685030911&sprefix=ba%2Caps%2C283&sr=8-127,"1,328",4.2 out of 5 stars,"1,390"
"COSMUS Madison waterproof Multipurpose Backpack With laptop compartment , 33L",https://www.amazon.in/COSMUS-Multipurpose-Backpack-Bag-compartment/dp/B078JVT384/ref=sr_1_128?crid=2M096C61O4MLT&keywords=bags&qid=1685030911&sprefix=ba%2Caps%2C283&sr=8-128,"1,420",4.2 out of 5 stars,"2,231"
"DYAZO Water Resistant Camera Bag/Case Shoulder Strap Space for Photography Lens and Accessories Compatible for Nikon, Canon, Sony, Panasonic, Samsung & Other SLR/DSLR etc (Black & Silver)",https://www.amazon.in/Resistant-Photography-Accessories-Compatible-Panasonic/dp/B0BRJLWQ6R/ref=sr_1_129?crid=2M096C61O4MLT&keywords=bags&qid=1685030917&sprefix=ba%2Caps%2C283&sr=8-129,599,4.5 out of 5 stars,201
Gear Classic 20L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Tan,https://www.amazon.in/Classic-Leather-Laptop-Backpack-LBPCLSLTH1901/dp/B07G4CYC74/ref=sr_1_130?crid=2M096C61O4MLT&keywords=bags&qid=1685030917&sprefix=ba%2Caps%2C283&sr=8-130,990,4.4 out of 5 stars,"2,419"
ADISA 32L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Navy),https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B0BPTT2HZY/ref=sr_1_131?crid=2M096C61O4MLT&keywords=bags&qid=1685030917&sprefix=ba%2Caps%2C283&sr=8-131,599,3.8 out of 5 stars,141
ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Black),https://www.amazon.in/ADISA-Laptop-Backpack-College-z-Black/dp/B09TPY1G1W/ref=sr_1_132?crid=2M096C61O4MLT&keywords=bags&qid=1685030917&sprefix=ba%2Caps%2C283&sr=8-132,499,3.9 out of 5 stars,801
"POLESTAR Enzo 15.6 inch 35 LTR Casual Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Backpack, Water Resistant and Light Weight, 1 year Warranty",https://www.amazon.in/Polestar-Liters-Polyester-Casual-Backpack/dp/B09243WY6M/ref=sr_1_133?crid=2M096C61O4MLT&keywords=bags&qid=1685030917&sprefix=ba%2Caps%2C283&sr=8-133,619,4.2 out of 5 stars,"3,870"
TRAWOC 80L Travel Backpack for Outdoor Sport Camp Hiking Trekking Bag Camping Rucksack HK007 (PARENT) 1 Year Warranty,https://www.amazon.in/TRAWOC-Backpack-Trekking-Rucksack-Warranty/dp/B0847PGZZM/ref=sr_1_134?crid=2M096C61O4MLT&keywords=bags&qid=1685030917&sprefix=ba%2Caps%2C283&sr=8-134,"2,332",4.4 out of 5 stars,"7,201"
"American Tourister Sest+ Polyester 2 Compartment Unisex Backpack (Grey,Frsz)",https://www.amazon.in/American-Tourister-Polyester-Compartment-Backpack/dp/B0BWFFFT5H/ref=sr_1_135?crid=2M096C61O4MLT&keywords=bags&qid=1685030917&sprefix=ba%2Caps%2C283&sr=8-135,"1,429",4.1 out of 5 stars,9
